state,x,y
Alabama,122,-93
Alaska,-215,-170
Arizona,-220,-42
Arkansas,38,-53
California,-319,15
Colorado,-131,12
Connecticut,295,86
Delaware,275,38
Florida,210,-155
Georgia,172,-85
Hawaii,-317,-140
Idaho,-216,108
Illinois,85,33
Indiana,121,39
Iowa,32,62
Kansas,-31,5
Kentucky,138,-8
Louisiana,52,-127
Maine,312,160
Maryland,278,23
Massachusetts,311,105
Michigan,130,98
Minnesota,10,149
Mississippi,84,-78
Missouri,41,0
Montana,-149,150
Nebraska,-55,55
Nevada,-268,56
New Hampshire,302,123
New Jersey,282,65
New Mexico,-150,-47
New York,232,97
North Carolina,207,-26
North Dakota,-65,152
Ohio,170,45
Oklahoma,-22,-41
Oregon,-288,132
Pennsylvania,210,65
Rhode Island,318,91
South Carolina,208,-58
South Dakota,-64,105
Tennessee,111,-36
Texas,-38,-116
Utah,-194,34
Vermont,275,135
Virginia,226,5
Washington,-287,180
West Virginia,200,25
Wisconsin,60,113
Wyoming,-147,90
